County,Resource Type,Organization,Website,Phone,Address
Centre,Community Organization,Centre Marriage and relational Therapy,http://centremarriage.com/,(814) 531-5659,"315 S Allen St#326State College, PA 16801"
Centre,Community Organization,Centre Safe,https://www.centresafe.org/,(814) 234-5050,"140 W Nittany AveState College, PA 16801"
Centre,Community Organization,Volunteer Centre County,https://volunteercentrecounty.org/,,"S Main StPort Matilda, PA 16870"
Centre,Community Organization Private Psychiatry Practice,Centre Volunteers in Medicine,https://www.cvim.net/,(814) 231-4043,"2520 Green Tech DriveSuite DState College, PA 16803"
Franklin,Secondary Schools,Chambersburg Area School District,https://www.casdonline.org/,(717) 263-9281,"435 Stanley AvenueChambersburg, PA 17201"
Franklin,Crisis Center/Hospital,Keystone Health Crisis Intervention at WellSpan Chambersburg Hospital,,,"112 N 7th StChambersberg, PA 17201"
Clearfield,Community Organization,CenClear- Clearfield office,https://www.cenclear.org/,(814) 765-1149,"60 Industrial Park RoadClearfield, PA 16830"
Jefferson,Community Organization,"CenClear, Brookville office",https://www.cenclear.org/,(814) 715-7441,"222 Allegheny BoulevardBrookville, PA 15825"
Jefferson,Community Organization,"CenClear, Punxsutawney Office",https://www.cenclear.org/,(814) 938-6340,"117 Elk Run AvenuePunxsutawney, PA 15767"
Mifflin,Community Organization,"CenClear, Yeagertown office",https://www.cenclear.org/cenclear,(717) 248-8197,"13193 Ferguson Valley RoadYeagertown, PA 17099"
Armstrong,Community Organization,Center for Behavioral Medicine,,(724) 543-1043,"200 Medical Arts Bldg# 240Kittanning, PA 16201"
Beaver,Private Psychiatry Practice,Center for Psychological Wellness,https://www.centerforpsychwell.com/,(724) 888-3317,"300 South Walnut LaneSuite 101Beaver, PA 15009"
Allegheny,Community Organization,Center for Public Service Psychiatry,https://www.cpsp.pitt.edu/,,"3811 O'Hara StreetPittsburgh, PA 15213"
Fayette,Primary Care Physician Office/Health Center,Centerville Clinics- Connellsville office,https://centervilleclinics.com/,(724) 626-2630,"601 S Arch StreetConnellsville, PA 15425"
Fayette,Primary Care Physician Office/Health Center,Centerville Clinics- Fairchance office,https://centervilleclinics.com/,(724) 564-0900,"93 N Morgantown StreetFairchance, PA 15436"
Fayette,Primary Care Physician Office/Health Center,Centerville Clinics- Uniointown office (Uniontown Family Doctors),https://centervilleclinics.com/,(724) 430-7990,"86 McClellandtown RoadUniontown, PA 15401"
Greene,Primary Care Physician Office/Health Center,Centerville Clinics- Waynesburg office,https://centervilleclinics.com/,(724) 632-6801,"1150 7th StreetWaynesburg, PA 15370-1660"
Cambria,Secondary Schools,Central Cambria High School,https://cchs.cencam.org/,(814) 472-8860,"204 Schoolhouse RoadEbensburg, PA 15931"
Allegheny,Parent Organization Secondary Schools,Central Elementary; Central Elementary PTO; Elizabeth Forward Middle School; Elizabeth Forward Middle School PTO; Elizabeth Forward School District,,(412) 896-2318,"401 Rock Run RoadElizabeth, PA 15037"
Allegheny,Parent Organization Secondary Schools,Central Elementary School; PTO,,(412) 486-6000,"4100 Middle RoadAllison Park, PA 15101"
Lehigh,Secondary Schools,Central Elementary School,https://cen.allentownsd.org/,(412) 765-4800,"829 W. Turner StreetAllentown, PA 18102"
Philadelphia,Secondary Schools,Central High School,https://centralhs.philasd.org/,(215) 400-3590,"1700 W Olney AvenuePhiladelphia, PA 19141"
Clinton,Secondary Schools,Central Mountain High School,https://cmhs.kcsd.us/,(570) 893-4646,"64 Keystone Central DrMill Hall, PA 17751"
Clearfield,Crisis Center/Hospital,Central PA Community Action,,(800) 822-2610,"207 E Cherry StClearfield, PA 16830"
Lancaster,College Counseling Center College/University,Central Penn College – Lancaster Campus; Central Penn College Counseling Services,https://www.centralpenn.edu/      https://www.centralpenn.edu/counseling-services/,(717) 393-0779,"1905 Old Philadelphia PikeLancaster, PA 17602"
Cumberland,College/University,Central Penn College – Summerdale Campus,https://www.centralpenn.edu/,(717) 732-0702,"600 Valley RoadPO Box 309Summerdale, PA 17093"
Westmoreland,Private Psychiatry Practice,Care Therapy LLC,,,"610 Pittsburgh StreetScottdale, PA 15683"
Philadelphia,Community Organization,CareLink,https://carelinkservices.org/,(610) 632-8156,"6214 Wayne Avenue#1Philadelphia, PA 19144"
Blair,Community Organization,Caring Health Network Altoona BH,https://caringhealthcarenetwork.com/,(814) 201-5266,"100 Chestnut AveAltoona, PA 16601"
Centre,Community Organization,Caring Health Network Philipsburg BH,https://caringhealthcarenetwork.com/,(814) 342-2333,"18 North Front Street`Philipsburg, PA 16866"
Allegheny,College Counseling Center College/University,Carlow University; Counseling Center,https://www.carlow.edu/,(800) 333-2275,"3333 Fifth AvenuePittsburgh, PA 15213-3165"
Allegheny,Secondary Schools,Carlynton Junior/Senior High School; Carlynton School District,https://www.carlynton.k12.pa.us/,(412) 429-2500,"435 Kings HighwayCarnegie, PA 15106"
Allegheny,Parent Organization,Carmalt PreK-8 PTSA,,(412) 529-7760,"1550 Breining StPittsburgh, PA 15234"
Greene,Secondary Schools,Carmichaels Area Senior High School,https://seniorhigh.carmarea.org/,(724) 966-5045 Ext: 3100,"215 N, Vine StreetCarmichaels, PA 15320"
Allegheny,Parent Organization,Carnegie Elementary School PTO,https://www.facebook.com/people/Carnegie-Elementary-PTA/100028842476558/,(412) 429-2540,"301 Franklin AvenueCarnegie, PA 15106"
Allegheny,College Counseling Center College/University,Carnegie Mellon University; Carnegie Mellon University Counseling Center,https://www.cmu.edu/,(412) 268-2000,"5000 Forbes AvenuePittsburgh, PA 15213"
Berks,Community Organization,Caron Foundation,https://www.caron.org/locations/caron-pennsylvania,(844) 260-1324,"243 N Galen Hall RoadWernersville, PA 19565"
Montgomery,Community Organization,Carson Valley Children’s Aid,https://www.cvca-pa.org/,(215) 233-1960,"1419 Bethlehem PikeFlourtown, PA 19031"
Philadelphia,PHP/IOP,Casa de Consejeria,,(215) 634-3259,"213 W Allegheny AvenuePhiladelphia, PA 19140"
Lehigh,Secondary Schools,Cataqauqua Area School District,,(610) 264-5571,"201 North 14th StreetCatasauqua, PA 18032"
Philadelphia,Community Organization,CATCH,https://catchinc.com/,(215) 735-7435,"1409 Lombard StreetAdmin headquartersPhiladelphia, PA 19146"
Philadelphia,Community Organization,Catch CMH/MRC,https://catchinc.com/,,"1400 Reed StreetPhiladelphia, PA 19146"
Monroe,Private Psychiatry Practice,CCM Counseling Services,https://ccmcounselingservices.com,(908) 319-8488,"25 North 6th Street Stroudsburg, PA 18360"
Lehigh,College/University,Cedar Crest College,https://www.cedarcrest.edu/,(800) 360-1222,"100 College DriveAllentown, PA 18104"
Elk,Community Organization,CenClear – St. Marys,,(814) 834-9283,"427 N. St. Marys StSt. Marys, PA 15857"
Clarion,Community Organization,CenClear- Clarion office,https://www.cenclear.org/domain/49,(814) 226-4171,"627 Wood StreetClarion, PA 16214"
Cambria,Primary Care Physician Office/Health Center,Cambria County State Health Center,,(814) 248-3120,"184 Donald LaneSuite 1Johnstown, PA 15904"
Crawford,Primary Care Physician Office/Health Center,Cambridge Springs Health Center,https://www.mmchs.org/Services/Rural-Health-Centers/Cambridge-Springs-Health-Center.aspx,(814) 373-3080,"118 Railroad StreetCambridge Springs, PA 16403"
Cameron,Secondary Schools,Cameron County High School,https://www.camcosd.org/high-school,(814) 486-4000,"601 Woodland AvenueEmporium, PA 15834"
Cameron,Community Organization,Cameron Elk Mental Health,http://www.cemhmr.org/,(814) 772-8016,"2070 Court StreetRidgway, PA 15853"
Philadelphia,General Hospital,Cancer Treatment Centers of America,,,"1331 East Wyoming AvenuePhiladelphia, PA 19124"
Washington,Secondary Schools,Canon-McMillan High School,https://www.cmsd.k12.pa.us/1/home,(724) 745-1400,"314 Elm Street Ext.Canonsburg, PA 15317"
Washington,General Hospital,Canonsburg Hospital,https://www.ahn.org/locations/hospitals/canonsburg?utm_source=GMB&utm_medium=Local&utm_content=Facility&utm_campaign=15013808,(724) 745-6100,"100 Medical BoulevardCanonsburg, PA 15317"
Philadelphia,Secondary Schools,CAPA,https://capa.philasd.org/,(215) 400-8140,"901 S Broad StreetPhiladelphia, PA 19147"
Carbon,Government Agency,Department of Human Services – Carbon County Assistance office,,,"101 Lehigh DrLehighton, PA 18235"
Carbon,Community Organization,Carbon County C&Y,https://www.diakon-swan.org/swan/organization/144/,(570) 325-3644,"76 Susquehanna StreetPO Box 449Jim Thorpe, PA 18229"
Carbon,Primary Care Physician Office/Health Center,Carbon County State Health Center,,(570) 325-6106,"101B Lehigh DriveLehighton, PA 18235"
Carbon,Secondary Schools,Carbon County Vocational Tech School,,,"150 W 13th StJim Thorpe, PA 18229"
Carbon,Secondary Schools,Carbon Learning Achievement School,,,"770 State RdLehighton, PA 18235"
Carbon,Primary Care Physician Office/Health Center,Carbon Medical Associate,,(610) 826-6353,"218 Delaware AveSte APalmerton, PA 18071"
Carbon,Community Organization,Carbon Monroe Pike Mental Health and Developmental Services,https://cmpmhds.org/,,"428 South 7th StreetSte 2Lehighton, PA 18235"
Carbon,Community Organization,Carbon Monroe Pike Mental Health and Developmental Services – Carbon,https://cmpmhds.org,(610) 377-0773,"428 South 7th StreetSuite 2Lehighton, PA 18235"
Monroe,Community Organization,Carbon Monroe Pike Mental Health and Developmental Services – Monroe,https://cmpmhds.org,(570) 420-1900,"732 Phillips StreetStroudsburg, PA 18360"
Pike,Community Organization,Carbon Monroe Pike Mental Health and Developmental Services – Pike,https://cmpmhds.org,(570) 296-6484,"10 Buist RoadSuite 404Milford, PA 18337"
Lackawanna,Psychiatric Hospital,Carbondale Area Partial Hospitalization Program,No website,(570) 282-7355,"185 Fallbrook StCarbondale, PA 18407"
Carbon,Community Organization,Carbon Children & Youth Services,,,"525 Iron St,Lehighton, PA 18235"
Clinton,Secondary Schools,Bucktail Middle/High School,https://bt.kcsd.us/,(570) 893-4900,"1300 Bucktail AvenueRenovo, PA 17764"
Lehigh,Secondary Schools,Building 21 High School,https://building21.allentownsd.org/,(412) 765-4401,"265 Lehigh StreetAllentown, PA 18105"
Monroe,Community Organization,Burnley employment and rehab services,https://www.allied-services.org/locations/burnley-employment-rehab-services/,(570) 992-6616,"4219 Manor DriveStroudsburg, PA 18360"
Westmoreland,Secondary Schools,Burrell School District; Burrell High School,,(724) 334-1403,"1021 Puckety Church RoadLower Burrell, PA 15068"
Westmoreland,Secondary Schools,Burrell High School,,,"1021 Puckety Church RdLower Burrell, PA 15068"
Pike,Parent Organization Secondary Schools,Bushkill Elementary School; PTO,,(570) 588-4400,"131 North School DriveDingmans Ferry, PA 18328"
Armstrong,College/University,Butler County Community College – Armstrong,https://www.bc3.edu/campus/armstrong/index.html,,"104 Armstrong StreetFord City, PA 16226"
Jefferson,College/University,Butler County Community College – Brockway,https://www.bc3.edu/campus/brockway/index.html,,"1200 Wood StreetBrockway, PA 15824"
Butler,College/University,Butler County Community College – Butler Campus,https://www.bc3.edu/,(724) 287-8711,"107 College DriveButler, PA 16002"
Butler,College/University,Butler County Community College – Cranberry,https://www.bc3.edu/campus/cranberry/index.html,,"250 Executive DriveCranberry Township, PA 16066"
Lawrence,College/University,Butler County Community College – Lawrence Crossing,https://www.bc3.edu/campus/lawrence-crossing/index.html,,"2849 West State StreetNew Castle, PA 16101"
Mercer,College/University,Butler County Community College – LindenPointe,https://www.bc3.edu/campus/lindenpointe/index.html,(724) 346-2073,"3182 Innovation WayHermitage, PA 16148"
Butler,Community Organization,Butler County PA Human Services,https://www.butlercountypa.gov/289/Human-Services,(724) 284-5114,"124 W Diamond StreetButler, PA 16003"
Butler,Primary Care Physician Office/Health Center,Butler County State Health Center,,(724) 287-1769,"100 Brugh AvenueSuite 210, Monarch BuildingButler, PA 16001"
Butler,General Hospital,Butler Memorial Hospital,https://www.butlerhealthsystem.org/locations/butler-memorial-hospital/,(724) 283-6666,"One Hospital WayButler, PA 16001"
Butler,General Hospital,Butler Memorial Hospital,,,"1 Hospital WayButler, PA 16001"
Delaware,College Counseling Center College/University,Cabrini University; Cabrini University Counseling and Psychological Services,https://www.cabrini.edu/,(610) 902-8100,"610 King of Prussia RdGrace Hall, Room 174.Radnor, PA 19087-3698"
Langhorne,College/University,Cairn University,https://cairn.edu/,(800) 366-0049,"200 Manor AvenueLanghorne, PA 19047-2990"
Bucks,College Counseling Center,Cairn University Oasis Counseling Center,,,"2700 Manor AvenueLanghorne, PA 19047"
Cambria,Community Organization,"Cambria County Behavioral Health, Intellectual Disabilities & Early Intervention",https://www.cambriacountypa.gov/behavioral-health/,(814) 535-8531,"110 Franklin StreetCentral Park Complex, Suite 300Johnstown, PA 15901-1831"
Monroe,Community Organization,Brookdale,https://brookdalerecovery.com/,(855) 575-1292,"2455 Black Mountain RunScotrun, PA 18355"
Montgomery,Crisis Center/Hospital Psychiatric Hospital,Brooke Glen Behavioral Hospital,https://brookeglenhospital.com/,(215) 641-5300,"7170 Lafayette AvenueFort Washington, PA 19034"
Clearfield,Community Organization,"Brookeville Behavioral Health, Inc., Clearfield Counseling Center",https://bbhealth.webs.com/,(814) 205-4164,"8912 Clearfield-Curwensville HighwayClearfield, PA 16830"
Clearfield,Community Organization,"Brookeville Behavioral Health, Inc., DuBois Counseling Center",https://bbhealth.webs.com/,(814) 371-1088,"3 South Brady StreetSuite 205  DuBois, PA 15801"
Jefferson,Community Organization,"Brookville Behavioral Health, Inc., Brookville office",https://bbhealth.webs.com/,(814) 849-2844,"240 Allegheny BoulevardSuite HBrookville, PA 15825"
Jefferson,Community Organization,"Brookville Behavioral Health, Inc., Punxsutawney Counseling Center",https://bbhealth.webs.com/,(814) 618-5829,"200 East Mahoning Street2nd FloorPunxsutawney, PA 15767"
Jefferson,Secondary Schools,Brookville Jr./ Sr. High School,https://bahs.basd.us/,(814) 849-8372,"96 Jenks StreetBrookville, PA 15825"
Butler,Private Psychiatry Practice,Brosenitsch Counseling,https://brosenitschcounseling.com/,(724) 453-4595,"101 Oak Ridge DriveSuite EButler, PA 16002"
Montgomery,College Counseling Center College/University,Bryn Athyn College; Bryn Athyn College Counseling Services,https://brynathyn.edu/,(267) 502-2400,"2945 College DrLower Brickman Health Center 020Bryn Athyn, PA 19009"
Montgomery,College/University,Bryn Mawr College,https://www.brynmawr.edu/,(610) 526-5000,"101 N Merion AveBryn Mawr, PA 19010"
Montgomery,College Counseling Center,Bryn Mawr College Counseling Services,,(610) 526-7360,"101 North Marion AvenueByn Mawr, PA 19010"
Delaware,General Hospital,Bryn Mawr Hospital,,,"130 S Bryn Mawr AveBryn Mawr, PA 19010"
Delaware,Crisis Center/Hospital,Bryn Mawr Hospital Inpatient Unit,,(412) 337-3000,"130 S Bryn Mawr AvenueBryn Mawr, PA 19010"
Union,College/University,Bucknell University,https://www.bucknell.edu/,(570) 577-2000,"1 Dent DrLewisburg, PA 17837"
Bucks,College/University,Bucks County Community College – Lower Bucks,https://www.bucks.edu/,(267) 685-4800,"1304 Veterans HighwayBristol, PA 19007"
Bucks,College Counseling Center College/University,Bucks County Community College – Newtown; Bucks County Community College Counseling Services,https://www.bucks.edu/,(215) 968-8000,"275 Swamp RoadNewtown, PA 19840"
Bucks,College/University,Bucks County Community College – Upper Bucks,https://www.bucks.edu/,(215) 258-7700,"One Hillendale RoadPerkasie, PA 18944"
Bucks,Primary Care Physician Office/Health Center,Bucks County Department of Health,,(215) 345-3318,"1282 Almshouse Road2nd Floor, Neshaminy Manor CenterDoylestown, PA 18901"
Montgomery,Community Organization,Bucks County Family; Main Line Parent; Philadelphia Family,https://buckscountyparent.com/      https://mainlineparent.com/      https://phillyfamily.com/,(215) 282-5184,"1505 Remington RoadWynnewood, PA 19096"
Clinton,General Hospital,"Bucktail Medical Center, The",,,"1001 Pine StRenovo, PA 17764"
Blair,Community Organization,"Blair Family Solutions, LLC",https://blairfamilysolutions.org/,(814) 944-9970,"705 12th St.Altoona, PA 16602"
Blair,Community Organization,Blair HealthChoices,https://blairhealthchoices.org/,(814) 696-5680,"81 Holliday Hills DriveHollidaysburg, PA 16648"
Columbia,College/University,Bloomsburg University of Pennsylvania,https://www.bloomu.edu/,(570) 389-4000,"400 E. Second StreetBloomsburg, PA 17815"
Carbon,Private Psychiatry Practice,Blue Mountain Psychiatry- Palmerton,https://bluepsychiatry.org/contact/,(610) 253-2500,"217 Franklin AvenueSuite 101Palmerton, PA 18071"
Westmoreland,Parent Organization Secondary Schools,Bon Air Elementary School; PTA,https://www.bonairpta.org/home,(724) 334-1463,"3260 Leechburg RoadLower Burrell, PA 15068"
Allegheny,Parent Organization,Bon Meade Elementary PTC,,(412) 264-9440 Ext: 5000,"1595 Brodhead RoadMoon Township, PA 15108"
Allegheny,Parent Organization,Boyce Middle School PTO,,(412) 833-1600 Ext: 5000,"1500 Boyce RoadUpper St. Clair, PA 15241"
Philadelphia,Secondary Schools,Boy’s Latin,https://www.boyslatin.org/,(215) 387-5149,"5501 Cedar AvenuePhiladelphia, PA 19143"
Bradford,Government Agency,Bradford & Sullivan County Offices of Mental Health,https://bradfordcountypa.org/mental-health-office/,(800) 588-1828,"220 Main StreetUnit 1Towanda, PA 18848"
McKean,General Hospital,Bradford Regional Medical Center,,,"116 Interstate PkwyBradford, PA 16701"
Allegheny,Parent Organization,Bradford Woods Elementary PFA,https://bwepfa.membershiptoolkit.com/,(724) 935-5081,"41 Forest RoadBradford Woods, PA 15015"
Centre,Private Psychiatry Practice,Brain Advances,,,"270 Walker Dr.#104 WState College, PA 16801"
Chester,General Hospital,Brandywine Hospital,,,"201 Reeceville RdCoatesville, PA 19320"
Allegheny,Secondary Schools,Brashear High School,,,"Crane AvePIttsburgh, PA 15216"
Allegheny,Secondary Schools,Brentwood Borough Middle/High School; Brentwood Borough School District,https://www.bb-sd.com/Default.aspx,(412) 881-4940,"3601 Brownsville RoadPittsburgh, PA 15227"
Mifflin,Community Organization,Brighter Visions Counseling- Lewistown office,https://brightervisionscounseling.com/,(717) 242-1428,"27 N. Brown St Lewistown, PA 17044"
Juniata,Private Psychiatry Practice,"Brighter Visions Counseling, Juniata County office",https://brightervisionscounseling.com/,(717) 242-1428,"22 Industrial CircleMifflintown, PA 17059"
Montgomery,Community Organization,Brightside Counseling,https://www.brightsidecounseling.org/,(215) 264-2272,"701 Cross RoadLederach, PA 19450"
Huntingdon,Primary Care Physician Office/Health Center,Broad Top Health and Wellness / Medical,https://www.broadtopmedical.com/contact.html,(814) 635-2916,"4133 Medical Center DriveBroad Top, PA 16621"
Jefferson,Secondary Schools,Brockway Junior-Senior High,http://www.brockway.k12.pa.us/HighSchool/index.html,(814) 265-8414,"100 Alexander StreetBrockway, PA 15824"
Philadelphia,PHP/IOP,Belmont NE PHP/IOP,,(215) 612-3227,"11600 Caroline RoadPhiladelphia, PA 19154"
Allegheny,Parent Organization,Benjamin Franklin Elementary School,https://sites.google.com/view/benpto/home?authuser=0,(412) 854-8741,"5400 Florida AvenueBethel Park, PA 15102"
Philadelphia,Secondary Schools,"Benjamin Franklin High School, public",https://www.philasd.org/bfhs/,(215) 400-7600,"550 N Broad StreetPhiladelphia, PA 19130"
Centre,Parent Organization Secondary Schools,Benner Elementary School; PTA,,(814) 355-2812,"490 Buffalo Run RoadBellefonte, PA 16823"
Washington,Secondary Schools,Bentworth High School,https://bhs.bentworth.org/,(724) 239-5911,"75 Bearcat DriveBentleyville, PA 15314"
Berks,Secondary Schools,Berks Catholic High School,https://www.berkscatholic.org/,(610) 374-8361,"955 E. Wyomissing BoulevardReading, PA 19611"
Berks,Primary Care Physician Office/Health Center,Berks Community Health Center,https://www.berkschc.net/,(610) 988-4838,"838 Penn StreetReading, PA 19602"
Berks,Primary Care Physician Office/Health Center,Berks County State Health Center,,(610) 378-4377,"625 Cherry StreetRoom 401; Reading State Office BuildingReading, PA 19602"
Berks,Community Organization,Berkshire Psychiatric- Reading office,https://berkshirepsychiatric.com/,(610) 816-5728,"1800 North 12th StreetReading, PA 19604"
Berks,Community Organization,Berkshire Psychiatric- Wyomissing office,https://berkshirepsychiatric.com/,(610) 375-0544,"716 N. Park RoadWyomissing, PA 19610"
Columbia,General Hospital,Berwick Hospital Center,,,"701 E 16th StBerwick, PA 18603"
Philadelphia,Community Organization,Bethanna- Outpatient Mental Health,https://bethanna.org/services/behavioral/,(215) 568-2435,"2501 B Reed StreetPhiladelphia, PA 19146"
Allegheny,Secondary Schools,Bethel Park High School,https://www.bpsd.org/bethelparkhighschool_home.aspx,(412) 833-5000,"309 Church RdBethel Park, PA 15102"
Allegheny,Secondary Schools,Bethel Park School District,https://www.bpsd.org/Default.aspx,(412) 833-5000,"301 Church RoadBethel Park, PA 15102"
Lehigh,Community Organization,Bethlehem Baptist Church,https://bbc4christ.org/,(215) 643-4977,"712 Penllyn PikeSpring House, PA 19477"
Lehigh,Primary Care Physician Office/Health Center,Bethlehem Bureau of Health,,(610) 865-7083,"10 E. Church St.City HallBethlehem, PA 18018"
Northampton,Primary Care Physician Office/Health Center,Bethlehem Bureau of Health,,(610) 865-7083,"10 E. Church St.City HallBethlehem, PA 18018-6069"
Washington,Secondary Schools,Bethlehem-Center High School,http://www.bcasd.net/wwwbethcenterbulldogscom,(724) 267-4944,"179 Crawford RoadFredericktown, PA 15333"
Beaver,Secondary Schools,Blackhawk High School,https://www.bsd.k12.pa.us/blackhawkhighschool_home.aspx,(724) 846-6600,"500 Blackhawk RoadBeaver Falls, PA 15010"
Blair,Primary Care Physician Office/Health Center,Blair County State Health Center,,(814) 946-7300,"615 Howard AvenueSuite 101Altoona, PA 16601"
Beaver,Primary Care Physician Office/Health Center,Beaver Falls Health Center Behavioral Health,https://primary-health.net/LocationDetail.aspx?id=103,(724) 843-0314,"1302 7th AvenueBeaver Falls, PA 15010"
Montgomery,Community Organization,Beck Institute for Cognitive Behavior Therapy,https://beckinstitute.org/,(610) 664-3020,"1 Belmont Avenue#700Bala Cynwyd, PA 19004"
Bedford,Primary Care Physician Office/Health Center,Bedford County State Health Center,,(814) 623-2001,"130 Vondersmith AvenueSuite ABedford, PA 15522"
Bedford,Secondary Schools,Bedford High School,kanek@bedfordasd.org,(814) 623-4250,"330 East John StBedford, PA 15522"
Bedford,Community Organization,Bedford-Somerset Developmental & Behavioral Health Services,http://dbhs.co/,(877) 814-5166,"1243 Shed RoadBedford, PA 15522"
Lancaster,Government Agency,Lancaster County Behavioral Health and Developmental Services,www.co.lancaster.pa.us     https://www.lancastercountybhds.org,(717) 299-8021,"150 North Queen StreetSuite 610Lancaster, PA 17603"
Carbon,Primary Care Physician Office/Health Center,Behavioral Health Associates,http://bhaeducation.org/weissport-medical/,(610) 379-9304,"413 Bridge StreetWeissport, PA 18235"
Schuylkill,Private Psychiatry Practice,Behavioral Health Associates,NA,(570) 399-5115,"2650 Woodglen RoardPottsville, PA 17901"
Lycoming,Primary Care Physician Office/Health Center,Behavioral Health at UPMC- Williamsport,https://www.upmc.com/services/behavioral-health-regions/north-central-pa,(570) 320-7525,"1100 Grampian BoulevardUPMC Williamsport Divine Providence CampusWilliamsport, PA 17701"
Lehigh,Crisis Center/Hospital,Behavioral Health Science Center,https://www.lvhn.org/locations/behavioral-health-science-center,(412) 884-2425,"2545 Schoenersville RoadFirst floorBethlehem, PA 18107"
Somerset,Government Agency,"Behavioral Health Services of Somerset and Bedford Counties, Inc.- Bedford office",https://www.bhssbc.us/contact/contact-information-directions/,(814) 443-8182,"245 West Race StreetSomerset, PA 15501"
Lancaster,Primary Care Physician Office/Health Center,Behavioral Healthcare Consultants,https://www.bhclanc.com,(717) 581-5255,"1755 Oregon PikeSte. 200Lancaster, PA 17601"
Lancaster,Primary Care Physician Office/Health Center,Behavioral Healthcare Corporation,https://bhc-pa.com,(717) 399-8288,"822 Marietta AvenueLancaster, PA 17603"
Allegheny,PHP/IOP,Bellefield IOP and Adult OP,,,"100 North Bellefield AveBellefield TowersPittsburgh, PA 15213"
Centre,Secondary Schools,Bellefonte Area High School,https://www.beasd.org/o/middle-and-high-school,(814) 355-4833,"830 East Bishop StreetBellefonte, PA 16823"
Centre,Secondary Schools,Bellefonte Area Middle School,,(814) 355-5466,"100 North School StreetBellefonte, PA 16823"
Centre,Secondary Schools,Bellefonte Area School District,,,"318 N Allegheny StBellefonte, PA 16823-1613"
Centre,Parent Organization Secondary Schools,Bellefonte Elementary School; PTA,https://bellefontepto.wixsite.com/index,(814) 355-5519,"100 West Linn StreetBellefonte, PA 16823"
Philadelphia,Crisis Center/Hospital PHP/IOP Psychiatric Hospital,Belmont Behavioral Hospital; Belmont Behavioral Health IOP,https://www.belmontbehavioral.com/,(855) 659-9972,"4200 Monument RoadPhiladelphia, PA 19131"
Philadelphia,Secondary Schools,Belmont Charter High School,http://www.belmontcharternetwork.org/bchs/,(267) 788-1421,"1301 Belmont AvenuePhiladelphia, PA 19104"
Centre,Secondary Schools,Bald Eagle Area Middle and High; Bald Eagle Area School District,https://www.beasd.org/o/middle-and-high-school,(814) 355-4868,"751 S Eagle Valley RdWingate, PA 16823"
Centre,Parent Organization Secondary Schools,Bald Eagle Area Middle and High School; PTA,,(814) 355-4868,"710 S. Eagle Valley RoadWingate, PA 16823"
Allegheny,Secondary Schools,Baldwin High School,https://www.bwschools.net/baldwin-high-school,(412) 885-7500,"4653 Clairton BlvdPittsburgh, PA 15236"
Allegheny,Secondary Schools,Baldwin-Whitehall School District,https://www.bwschools.net/,,"4900 Curry RoadPittsburgh, PA 15237"
Bucks,PHP/IOP,Banyan Treatment Center,,(609) 408-3776,"100 N Buckstown DriveSuite 100ELanghorne, PA 19047"
Indiana,Private Psychiatry Practice,Barbara Elkin,http://www.barbelkinlpc.com/,(724) 471-8171,"647 Philadelphia StreetThe Midtown Building, Suite 402Indiana, PA 15701"
Erie,Primary Care Physician Office/Health Center,Barber National Institute,https://www.barberinstitute.org/locations/erie,(814) 453-7661,"100 Barber Place Erie, PA 16507"
Bucks,General Hospital,Barix Clinics of Pennsylvania,,,"280 Middletown BlvdLanghorne, PA 19047"
Susquehanna,General Hospital,Barnes-Kasson Hospital,http://barnes-kasson.org/,(800) 323-2051,"2872 Turnpike St Susquehanna, PA 18847"
Beaver,Community Organization,BCRC,https://www.bcrc.net/,(724) 775-0415,"701 5th StreetBeaver, PA 15009"
Forest,Community Organization,Beacon Light Behavioral Health System,https://www.beacon-light.org/,(814) 723-1832,"623 Elm StreetTionesta, PA 16353"
Beaver,Secondary Schools,Beaver Area High School,https://www.basd.k12.pa.us/beaverareahighschool_home.aspx,(724) 774-0250,"1 Gypsy Glen RoadBeaver, PA 15009"
Beaver,Government Agency,Beaver County Behavioral Health and Developmental Services,http://www.beavercountypa.gov/Depts/BH/Pages/default.aspx,(724) 891-2827,"1070 Eighth Avenue2nd FloorBeaver Falls, PA 15010"
Allegheny,College/University,Beaver County Community College – CCBC at Parkway West,https://www.ccbc.edu/,(724) 480-3600,"7101 Steubenville PikeOakdale, PA 15071"
Washington,College/University,Beaver County Community College – CCBC at Western Area Career & Technology Center,https://www.ccbc.edu/,(724) 746-2890,"688 Western AveCanonsburg, PA 15317"
Beaver,College/University,Beaver County Community College – CCBC Aviation Sciences Center,https://www.ccbc.edu/,(724) 480-3600,"125 Cressna DriveBeaver Falls, PA 15010"
Beaver,College Counseling Center College/University,Beaver County Community College – Center Township Campus; Community College of Beaver County Counseling Center,https://www.ccbc.edu/     https://www.ccbc.edu/counselingservices,(724) 480-2222,"1 Campus DriveMonaca, PA 15061"
Beaver,Private Psychiatry Practice,Beaver County Pathways Behavioral Health and Wellness Center,https://bcpathways.org/,(724) 385-0588,"1098 Kennedy DriveAmbridge, PA 15003"
Beaver,Primary Care Physician Office/Health Center,Beaver County State Health Center,,(724) 774-1385,"500 Market StreetSuite 104Bridgewater, PA 15009"
