County,Resource Type,Organization,Website,Phone,Address,Generated Description
Juniata,Private Psychiatry Practice,"Brighter Visions Counseling, Juniata County office",https://brightervisionscounseling.com/,(717) 242-1428,"22 Industrial CircleMifflintown, PA 17059","Brighter Visions Counseling in Mifflintown, PA, offers expert mental health and addiction support through a compassionate team of licensed professionals. Specializing in anxiety, depression, trauma, and substance abuse, their personalized approach integrates cognitive-behavioral, spiritual, and twelve-step therapies. Services range from individual counseling to intensive outpatient programs, addressing various age groups and specific needs. The experienced staff fosters a collaborative environment, helping clients build on their strengths for lasting personal growth and recovery. Tailored support and knowledge of local resources ensure clients receive comprehensive care on their journey to wellness."
Montgomery,Community Organization,Brightside Counseling,https://www.brightsidecounseling.org/,(215) 264-2272,"701 Cross RoadLederach, PA 19450","Brightside Counseling LLC, located in Lederach, PA, offers comprehensive mental health services for children, adolescents, and families. Led by licensed professionals, the practice specializes in individual, couples, and family therapy, medication management, and school assessments. They address issues like autism, addiction, and trauma, providing personalized treatment plans. Brightside also facilitates online counseling and employs a medical team for holistic care. Their approach emphasizes matching clients with suitable therapists to ensure effective treatment. With a commitment to fostering community support, Brightside Counseling aims to empower individuals on their journey to mental well-being."
Huntingdon,Primary Care Physician Office/Health Center,Broad Top Health and Wellness / Medical,https://www.broadtopmedical.com/contact.html,(814) 635-2916,"4133 Medical Center DriveBroad Top, PA 16621","Broad Top Health and Wellness offers comprehensive medical services tailored to the community's needs. Located in Broad Top, PA, the facility operates Monday to Thursday from 7:00 am to 5:00 pm and Friday from 7:00 am to 4:00 pm, with after-hours support for emergencies. They prioritize accessibility, providing same-day appointments when possible and translation services through Cyracom for non-English speakers. The center includes various programs, resources, and employment opportunities, fostering an inclusive environment focused on patient wellness."
Jefferson,Secondary Schools,Brockway Junior-Senior High,http://www.brockway.k12.pa.us/HighSchool/index.html,(814) 265-8414,"100 Alexander StreetBrockway, PA 15824","Brockway Junior-Senior High, located in Brockway, PA, offers vital support through its Student Assistance Program (SAP), aimed at addressing barriers to learning, including mental health and substance abuse issues. A trained team collaborates with community services to assist students and families. The school also includes after-school tutoring for all subjects, summer reading encouragement for high school students, and free SAT preparation courses tailored to individual student needs. Parents can track their child's academic progress via the FOCUS Portal, enhancing engagement in their education."
Philadelphia,PHP/IOP,Belmont NE PHP/IOP,,(215) 612-3227,"11600 Caroline RoadPhiladelphia, PA 19154","Belmont NE PHP/IOP, located in Philadelphia, offers comprehensive mental health services, including inpatient and outpatient treatment tailored for children, adolescents, and adults. With over 75 years of experience, the facility provides individualized care for various disorders, such as anxiety, depression, PTSD, and more. Patients can benefit from unique therapies and active family involvement, ensuring a supportive recovery environment. The hospital emphasizes a full continuum of care and maintains a dedicated 24/7 admissions team to guide individuals toward a healthier future through confidential assessments and personalized treatment plans."
Allegheny,Parent Organization,Benjamin Franklin Elementary School,https://sites.google.com/view/benpto/home?authuser=0,(412) 854-8741,"5400 Florida AvenueBethel Park, PA 15102","Benjamin Franklin Elementary School, located at 5400 Florida Avenue, Bethel Park, PA, emphasizes a supportive environment fostering academic and social-emotional development. The school offers various mental health resources including counseling services, social skills programs, and workshops for students and families. They create an inclusive atmosphere to address individual needs and provide guidance for coping with challenges. Collaboration with local mental health professionals enhances their ability to support students facing emotional or behavioral issues, ensuring a well-rounded approach to education and personal growth."
Philadelphia,Secondary Schools,"Benjamin Franklin High School, public",https://www.philasd.org/bfhs/,(215) 400-7600,"550 N Broad StreetPhiladelphia, PA 19130","Benjamin Franklin High School, located in Philadelphia, serves grades 9-12 and offers a range of mental health and counseling resources. With a dedicated counseling team, the school supports student well-being through academic advisement and emotional support. It provides access to health updates, educational resources for families, and various programs, including Career and Technical Education. The school also offers technology support and medical benefits assistance, empowering families to navigate health insurance options. School engagement activities and a parent portal enhance community involvement and access to important information."
Centre,Parent Organization Secondary Schools,Benner Elementary School; PTA,,(814) 355-2812,"490 Buffalo Run RoadBellefonte, PA 16823","Benner Elementary School's PTA in Bellefonte, PA, focuses on fostering a supportive community for students and families. The PTA organizes events and activities that promote mental health awareness and create a nurturing environment for children. They collaborate with educators and mental health professionals to provide resources and workshops aimed at addressing emotional well-being and resilience skills. Additionally, the PTA encourages parental involvement, providing a platform for families to connect, share experiences, and access relevant support systems within the school community."
Washington,Secondary Schools,Bentworth High School,https://bhs.bentworth.org/,(724) 239-5911,"75 Bearcat DriveBentleyville, PA 15314","Bentworth High School, located in Bentleyville, PA, is committed to fostering student mental health through a comprehensive counseling program that includes a Partial Hospitalization Program. The school emphasizes a creativity-driven approach to mental wellness, aiming to enhance students' emotional well-being. With access to various resources, including health services, academic support, and involvement in extracurricular activities, Bentworth High School provides a supportive environment for students facing mental health challenges, alongside robust academic programs and community engagement opportunities. The school is recognized as a National Blue Ribbon School, reflecting its commitment to excellence in education."
Berks,Secondary Schools,Berks Catholic High School,https://www.berkscatholic.org/,(610) 374-8361,"955 E. Wyomissing BoulevardReading, PA 19611","Berks Catholic High School, located in Reading, PA, is a Christ-centered institution emphasizing community, academic excellence, and personal development. Their mission focuses on the pillars of God, Family, Academics, and Fun, fostering spiritual, social, and emotional growth. The school offers individualized college and career counseling, along with various extracurricular activities, clubs, and sports to enrich student experiences. Committed to accessibility, Berks Catholic provides financial aid options to support families pursuing a faith-based education. Through a nurturing environment, students are encouraged to realize their potential and cultivate their talents."
Berks,Primary Care Physician Office/Health Center,Berks Community Health Center,https://www.berkschc.net/,(610) 988-4838,"838 Penn StreetReading, PA 19602","Berks Community Health Center, located at 838 Penn Street, Reading, PA, is dedicated to improving community health by offering comprehensive services. Programs include primary and behavioral health care, dental services, optometry, nutrition, and chronic disease management. Special initiatives like ""Wellness on Wheels"" and ""Medication Assisted Treatment"" enhance accessibility. The center provides care regardless of economic status, ensuring financial assistance and interpreters are available. Community engagement events and the Centering Parenting program foster support networks among residents. Berks Community Health Center prioritizes holistic health, making it an essential resource for individuals and families in Berks County."
Berks,Primary Care Physician Office/Health Center,Berks County State Health Center,,(610) 378-4377,"625 Cherry StreetRoom 401; Reading State Office BuildingReading, PA 19602","The Berks County State Health Center offers vital health services to Pennsylvania residents, including immunizations, tuberculosis testing and treatment, and confidential HIV and STD testing, counseling, and treatment. Additionally, the center provides free COVID-19 at-home test kits, naloxone, condoms, and gun locks. Residents can access educational materials and referrals to local healthcare services. Open Monday through Friday from 8:00 AM to 4:00 PM, it is a key resource for community health support and preventive care."
Berks,Community Organization,Berkshire Psychiatric- Reading office,https://berkshirepsychiatric.com/,(610) 816-5728,"1800 North 12th StreetReading, PA 19604","Berkshire Psychiatric in Reading, PA, offers comprehensive mental health services to children, adolescents, adults, and seniors. Their team includes psychiatrists, psychologists, licensed counselors, and social workers, dedicated to providing compassionate care for a variety of behavioral health conditions. The facility features an Intensive Outpatient Program (IOP) and conducts multiple therapy and support groups. Berkshire Psychiatric emphasizes respectful, patient-centered treatment, aiming to deliver care that patients recommend to loved ones. They also prioritize mental health education and provide community resources to support overall well-being."
Berks,Community Organization,Berkshire Psychiatric- Wyomissing office,https://berkshirepsychiatric.com/,(610) 375-0544,"716 N. Park RoadWyomissing, PA 19610","Berkshire Psychiatric's Wyomissing office offers compassionate mental health services for children, adolescents, adults, and seniors. The center features a dedicated team of psychiatrists, psychologists, and licensed therapists, providing a comprehensive range of treatments, including an Intensive Outpatient Program (IOP). They facilitate various therapy and support groups tailored to different needs, ensuring respectful and individualized care. Berkshire Psychiatric values collaboration and aims to deliver high-quality behavioral health services that families can trust and recommend, adhering to non-discrimination principles. New patients can easily schedule appointments through accessible online resources."
Columbia,General Hospital,Berwick Hospital Center,,,"701 E 16th StBerwick, PA 18603","Berwick Hospital Center, located at 701 E 16th St, Berwick, PA, specializes in inpatient geriatric psychiatry for individuals aged 55 and up. It provides a dedicated behavioral health unit but no emergency services or surgical procedures. The center is community-focused, offering essential mental health support tailored to older adults. Record pick-up is available on weekdays from 7:30 AM to 4:00 PM. For emergency situations, individuals are advised to call 911 or visit the nearest emergency department, as the hospital has ceased emergency room operations."
Philadelphia,Community Organization,Bethanna- Outpatient Mental Health,https://bethanna.org/services/behavioral/,(215) 568-2435,"2501 B Reed StreetPhiladelphia, PA 19146","Bethanna's Outpatient Mental Health Services, located at 2501 B Reed Street, Philadelphia, PA, offers a range of behavioral health support for children, youth, and families. Utilizing evidence-based treatment modalities, services aim to help those facing trauma, attachment issues, and behavioral challenges in various settings. Additionally, Bethanna provides resources including Behavioral Health Rehabilitation Services (BHRS) and Clinical Transition and Stabilization Services (CTSS), along with programs for foster care, adoption, parenting education, and community support. Their mission focuses on building family strength and empowering individuals towards meaningful lives."
Allegheny,Secondary Schools,Bethel Park High School,https://www.bpsd.org/bethelparkhighschool_home.aspx,(412) 833-5000,"309 Church RdBethel Park, PA 15102","Bethel Park High School, located at 309 Church Road, is a public high school in Pennsylvania serving grades 9-12 with an enrollment of approximately 1,291 students. Established in 1908, the school offers a robust curriculum including Advanced Placement and honors courses, alongside diverse extracurricular activities in athletics and the arts. The school's comprehensive approach to education supports student development through various clubs and organizations, alongside essential counseling services for mental health and academic guidance. Its motto, ""Where Futures Begin,"" underscores a commitment to fostering student success and well-being."
Allegheny,Secondary Schools,Bethel Park School District,https://www.bpsd.org/Default.aspx,(412) 833-5000,"301 Church RoadBethel Park, PA 15102","The Bethel Park School District's Student Support Services Department enhances the academic, social, behavioral, and emotional well-being of all students. It oversees various programs, including Special Education, Gifted Education, and English as a Second Language services. Additional support includes nursing services, guidance, assistance for foster care and homeless students, and the Student Assistance Program, which provides mental health resources. The department is staffed by qualified professionals, ensuring a comprehensive approach to student needs within the community."
Lehigh,Community Organization,Bethlehem Baptist Church,https://bbc4christ.org/,(215) 643-4977,"712 Penllyn PikeSpring House, PA 19477","Skipped due to timeout, missing website, or no useful content found."
Lehigh,Primary Care Physician Office/Health Center,Bethlehem Bureau of Health,,(610) 865-7083,"10 E. Church St.City HallBethlehem, PA 18018","The Bethlehem Bureau of Health, located in City Hall, focuses on protecting and promoting the health of the Bethlehem community. Established in 1980, it monitors health status, diagnoses community health issues, and evaluates health services' effectiveness and accessibility. The Bureau provides various public health services, including maternal, child, and infant health programs, injury prevention, and mental health resources. Additionally, it oversees public health emergencies and community engagement initiatives. The mission emphasizes ensuring Bethlehem remains a safe and healthy environment for all residents."
Northampton,Primary Care Physician Office/Health Center,Bethlehem Bureau of Health,,(610) 865-7083,"10 E. Church St.City HallBethlehem, PA 18018-6069","The Bethlehem Bureau of Health, established in 1980, provides comprehensive public health services to the Bethlehem community. Its core functions include monitoring health status, diagnosing health issues, and evaluating health services' effectiveness and accessibility. The Bureau focuses on promoting optimal health and well-being through various initiatives, including mental health services, injury prevention, maternal and child health, and emergency preparedness. They also feature a Mental Health Services Appeals Board to address community mental health needs. The Bureau is committed to ensuring a safe and healthy environment for all residents."
Washington,Secondary Schools,Bethlehem-Center High School,http://www.bcasd.net/wwwbethcenterbulldogscom,(724) 267-4944,"179 Crawford RoadFredericktown, PA 15333","Bethlehem-Center High School, located at 179 Crawford Road in Fredericktown, PA, is dedicated to fostering a supportive educational environment. The school provides various mental health resources through its Wellness Program, which includes support for students with special needs and access to Social and Emotional Learning (SEL) initiatives. Additionally, the school emphasizes a comprehensive approach to student well-being, integrating food services and counseling options. Parents and students can find information on special programs, activities, and the importance of wellness in education, ensuring a nurturing atmosphere for all learners."
Beaver,Secondary Schools,Blackhawk High School,https://www.bsd.k12.pa.us/blackhawkhighschool_home.aspx,(724) 846-6600,"500 Blackhawk RoadBeaver Falls, PA 15010","Blackhawk High School, located in Beaver Falls, PA, offers various support resources, particularly for mental health. The school provides access to crisis support through a 24/7 text line (741741) for individuals experiencing self-harm or suicidal thoughts. Additionally, the school has initiatives like the “DO YOUR PART” bullying program aimed at fostering a safe and supportive environment. Other resources include guidance counseling, assistance for homeless students, and connections to community services for basic needs such as food and housing support, enhancing overall student wellbeing."
Blair,Primary Care Physician Office/Health Center,Blair County State Health Center,,(814) 946-7300,"615 Howard AvenueSuite 101Altoona, PA 16601","The Blair County State Health Center, located at 615 Howard Avenue, Suite 101, Altoona, PA, offers a range of health services, including behavioral health support. This center is essential for community health, providing programs for women and children, nutrition assistance, immunizations, and substance abuse prevention and treatment. The center also addresses communicable diseases and offers cancer control initiatives. It is part of the PA Department of Health’s efforts to regulate and support various health facilities across the region, ensuring accessible care for residents."
Beaver,Primary Care Physician Office/Health Center,Beaver Falls Health Center Behavioral Health,https://primary-health.net/LocationDetail.aspx?id=103,(724) 843-0314,"1302 7th AvenueBeaver Falls, PA 15010","Beaver Falls Health Center Behavioral Health, part of the Primary Health Network, offers comprehensive behavioral health services since its opening in 2008. Located at 1302 7th Avenue, Beaver Falls, PA, the center features a team of specialized providers, including nurse practitioners and licensed counselors. Services are designed to support mental health needs, with a commitment to accessibility through a sliding fee scale for income-eligible patients. The center also emphasizes COVID-19 safety precautions, offers virtual care options, and provides free transportation for patients visiting various PHN locations. Regular hours include evenings and a half day on Fridays."
Montgomery,Community Organization,Beck Institute for Cognitive Behavior Therapy,https://beckinstitute.org/,(610) 664-3020,"1 Belmont Avenue#700Bala Cynwyd, PA 19004","The Beck Institute for Cognitive Behavior Therapy, located in Bala Cynwyd, PA, offers a comprehensive range of training and services focused on Cognitive Behavior Therapy (CBT) and Recovery-Oriented Cognitive Therapy (CT-R). As a non-profit organization, it provides training for professionals, students, and organizations through workshops, webinars, and certification programs. The institute also features the Beck Institute Clinic, which offers therapy and weight management programs, along with extensive resources for both professionals and the general public. Founded by Dr. Aaron T. Beck, the institute aims to enhance mental health outcomes through evidence-based practices."
Bedford,Primary Care Physician Office/Health Center,Bedford County State Health Center,,(814) 623-2001,"130 Vondersmith AvenueSuite ABedford, PA 15522","The Bedford County State Health Center, located at 130 Vondersmith Avenue, Bedford, PA, offers a range of health and community services, including support for social determinants of health, emergency food assistance, and housing programs. The center focuses on early learning resources, employment training, and transportation for individuals with disabilities. Additional services include financial literacy workshops, weatherization programs, and community food pantries. Operating Monday to Friday from 8:00 a.m. to 4:30 p.m., the center serves multiple counties, emphasizing equitable access to health and social support resources in the region."
Bedford,Secondary Schools,Bedford High School,kanek@bedfordasd.org,(814) 623-4250,"330 East John StBedford, PA 15522","Bedford High School, located in Bedford, Pennsylvania, serves grades 9-12 and is part of the Bedford Area School District. With an enrollment of approximately 536 students and a student-to-teacher ratio of 13:1, the school focuses on providing a supportive educational environment. Beyond academics, Bedford High offers a variety of extracurricular activities, including sports like basketball, soccer, and track and field, as well as various clubs and organizations, promoting student engagement and mental well-being through teamwork and social interaction. A renovation project is underway, expected to enhance the school experience by 2026/2027."
Bedford,Community Organization,Bedford-Somerset Developmental & Behavioral Health Services,http://dbhs.co/,(877) 814-5166,"1243 Shed RoadBedford, PA 15522","Bedford-Somerset Developmental & Behavioral Health Services offers a range of support for children and adults, focusing on developmental and behavioral health. Their services include an Intellectual Disability/Autism Program, Early Intervention, Administrative Case Management, and a Student Assistance Program (SAP). They also provide the Child and Adolescent Service System Program (CASSP), behavioral health drop-in centers, and consultation and education. The organization promotes high-quality, accessible services that foster family-centered care, resilience in mental health, and self-determination, aiming for individuals and families to enjoy meaningful, productive lives within the community."
Lancaster,Government Agency,Lancaster County Behavioral Health and Developmental Services,www.co.lancaster.pa.us     https://www.lancastercountybhds.org,(717) 299-8021,"150 North Queen StreetSuite 610Lancaster, PA 17603","Lancaster County Behavioral Health and Developmental Services (LCBHDS) provides support to individuals with behavioral health and developmental needs, promoting their strengths and potential. They offer services for mental health, intellectual disabilities, early intervention, and family support. LCBHDS assists in creating individualized service plans, coordinates beneficial services, and encourages independent living. They also provide resources for families with infants and toddlers with developmental needs. The agency actively seeks team members and advisory board members to enhance service delivery within the community."
Carbon,Primary Care Physician Office/Health Center,Behavioral Health Associates,http://bhaeducation.org/weissport-medical/,(610) 379-9304,"413 Bridge StreetWeissport, PA 18235","Behavioral Health Associates, located at 413 Bridge Street, Weissport, PA, offers specialized psychiatric services, including treatments for anxiety, ADHD, and mood disorders. The practice features a diverse team of professionals, including psychiatrists and nurse practitioners, delivering care to both adults and children. Services include individual therapy, psychological evaluations, and telehealth options. The clinic prioritizes patient accessibility, with free onsite parking and a range of appointment availability to accommodate various schedules. Behavioral Health Associates aims to support mental health wellness in the community through comprehensive and compassionate care."
Schuylkill,Private Psychiatry Practice,Behavioral Health Associates,,(570) 399-5115,"2650 Woodglen RoardPottsville, PA 17901","Behavioral Health Associates, located at 2650 Woodglen Road in Pottsville, PA, offers comprehensive mental health services tailored to individuals and families. This resource focuses on providing professional support through therapy, counseling, and mental health assessments. They aim to address various behavioral health concerns, ensuring personalized care in a compassionate environment. Their commitment to enhancing mental well-being makes them a vital part of the Pottsville community, helping residents navigate challenges and improve their overall quality of life."
Lycoming,Primary Care Physician Office/Health Center,Behavioral Health at UPMC- Williamsport,https://www.upmc.com/services/behavioral-health-regions/north-central-pa,(570) 320-7525,"1100 Grampian BoulevardUPMC Williamsport Divine Providence CampusWilliamsport, PA 17701","Behavioral Health at UPMC-Williamsport offers comprehensive mental health services for children, adolescents, and adults. Located in a secure environment, they provide outpatient and inpatient care tailored to individual needs, including treatment for anxiety, depression, and PTSD. Their licensed professionals utilize various therapeutic approaches such as cognitive behavioral therapy and mindfulness. The facility emphasizes a compassionate approach to recovery, involving family and community resources in the healing process. An easy phone-intake process ensures accessibility, and no referrals are needed for psychotherapy services, making it convenient for those seeking help."
Lehigh,Crisis Center/Hospital,Behavioral Health Science Center,https://www.lvhn.org/locations/behavioral-health-science-center,(412) 884-2425,"2545 Schoenersville RoadFirst floorBethlehem, PA 18107","The Behavioral Health Science Center, part of Lehigh Valley Hospital–Muhlenberg, offers short-term treatment for adults and adolescents (ages 12-18) facing severe acute crises. With dedicated Adult and Adolescent Behavioral Health Units, the center provides comprehensive care through a multidisciplinary team that includes psychiatrists, nurse practitioners, and case managers. The focus is on stabilizing patients and transitioning them to less intensive care, with an average stay of about one week. For visitation and appointment details, contact the respective units directly."
Somerset,Government Agency,"Behavioral Health Services of Somerset and Bedford Counties, Inc.- Bedford office",https://www.bhssbc.us/contact/contact-information-directions/,(814) 443-8182,"245 West Race StreetSomerset, PA 15501","Behavioral Health Services of Somerset and Bedford Counties, Inc. operates a Bedford office dedicated to providing comprehensive mental health support. Their services include state plan and supplemental mental health care, child and adolescent services, and support groups. Additionally, the organization offers resources for suicide prevention, substance use, and smoking cessation. Operating hours are Monday to Friday, 8:00 a.m. to 4:00 p.m., ensuring accessible care for the community. The Bedford location is situated at 181 Friendship Village Road, Suite 2, Bedford, PA 15522, complementing their Somerset office in enhancing mental health services in the region."
Lancaster,Primary Care Physician Office/Health Center,Behavioral Healthcare Consultants,https://www.bhclanc.com,(717) 581-5255,"1755 Oregon PikeSte. 200Lancaster, PA 17601","Behavioral Healthcare Consultants, P.C., established in 1987 in Lancaster, PA, offers comprehensive outpatient behavioral healthcare services for individuals of all ages, including children, adults, and families. Their licensed psychologists and counselors focus on creating a supportive and culturally sensitive environment to help clients achieve their mental health goals. With a commitment to social justice, the practice emphasizes collaboration and personalized treatment plans tailored to each individual’s needs. Services are available at multiple locations in South-Central Pennsylvania, promoting emotional, psychological, and spiritual well-being through skilled therapy and support."
Lancaster,Primary Care Physician Office/Health Center,Behavioral Healthcare Corporation,https://bhc-pa.com,(717) 399-8288,"822 Marietta AvenueLancaster, PA 17603","Behavioral Healthcare Corporation, located in Lancaster, PA, is committed to providing comprehensive mental health support since 2002. Their services include Mobile Psychiatric Nursing, Mobile Social Rehab, and Outpatient Psychotherapy, addressing various challenges like anxiety, addiction, and depression. The dedicated team aims to help individuals navigate life's difficulties by offering personalized care. They provide self-help tools, assessments, FAQs, and information on mental illness, ensuring clients are well-informed about fees and what to expect during their first visit. The organization operates with a mission of mental health accessibility for all they serve."
Allegheny,PHP/IOP,Bellefield IOP and Adult OP,,,"100 North Bellefield AveBellefield TowersPittsburgh, PA 15213","Bellefield IOP and Adult OP, located at 100 North Bellefield Ave, Pittsburgh, PA, is part of UPMC Western Psychiatric Hospital, offering comprehensive outpatient and community-based mental health programs. It provides specialized services for adults facing various mental health challenges, including intensive outpatient programs, medication management, and therapy options like cognitive behavioral therapy and dialectical behavior therapy. The facility focuses on individualized patient care with a multidisciplinary team experienced in mental health treatment. They also offer resources for those struggling with addiction and related disorders, emphasizing accessibility and local support."
Centre,Secondary Schools,Bellefonte Area High School,https://www.beasd.org/o/middle-and-high-school,(814) 355-4833,"830 East Bishop StreetBellefonte, PA 16823","Bellefonte Area High School, located at 830 East Bishop Street, Bellefonte, PA 16823, offers a range of mental health support services for students. The school prioritizes student well-being through counseling services, social-emotional programs, and crisis intervention initiatives. Additionally, it provides resources for academic support and peer mentoring activities to foster a supportive community. Programs focus on coping strategies, stress management, and building resilience among students, ensuring a holistic approach to mental health within the educational environment."
Centre,Secondary Schools,Bellefonte Area Middle School,,(814) 355-5466,"100 North School StreetBellefonte, PA 16823","Bellefonte Area Middle School, located at 100 North School Street, Bellefonte, PA, serves students in grades 6-8, focusing on academic and personal development. The school offers various mental health support services, including guidance counseling, crisis intervention, and access to social emotional learning programs. Additionally, it provides resources for parents and students, mental health awareness initiatives, and collaboration with local mental health professionals to ensure a supportive environment. Through these activities, the school aims to foster resilience and address the emotional well-being of its student population."
Centre,Secondary Schools,Bellefonte Area School District,,,"318 N Allegheny StBellefonte, PA 16823-1613","Bellefonte Area School District offers comprehensive mental health support services for students and families. The district emphasizes a collaborative approach, integrating counseling and behavioral resources within the school environment. It provides access to trained counselors, mental health programs, and educational workshops focused on promoting emotional well-being and resilience. The district also facilitates connections to external mental health providers, ensuring students receive the necessary support and intervention for their mental health challenges. Overall, they aim to foster a safe and supportive atmosphere conducive to student growth and well-being."
Centre,Parent Organization Secondary Schools,Bellefonte Elementary School; PTA,https://bellefontepto.wixsite.com/index,(814) 355-5519,"100 West Linn StreetBellefonte, PA 16823","The Bellefonte Elementary School Parent-Teacher Organization (BES PTO) aims to enhance the welfare of students by fostering strong connections between their school, home, and community. The PTO offers membership options, opportunities to volunteer for events or committees, and ways to support fundraising efforts. Key activities include organizing events like the Holiday Store and Lip Sync Show, along with maintaining the Raiders Closet for students in need. The BES PTO encourages community involvement to enrich students' educational experiences at Bellefonte Elementary School."
Philadelphia,Crisis Center/Hospital PHP/IOP Psychiatric Hospital,Belmont Behavioral Hospital; Belmont Behavioral Health IOP,https://www.belmontbehavioral.com/,(855) 659-9972,"4200 Monument RoadPhiladelphia, PA 19131","Belmont Behavioral Hospital, located in Philadelphia, offers comprehensive psychiatric and mental health services for all ages. With a focus on individualized treatment, Belmont provides inpatient, outpatient, and specialty services, including unique therapies. Their expertly trained staff supports patients dealing with a range of disorders, such as depression, anxiety, PTSD, and self-harm. With over 75 years of experience, Belmont champions a caring, family-involved approach to recovery and emphasizes a full continuum of care. A dedicated admissions team is available 24/7 to assist with assessments and guide individuals toward effective treatment options."
Philadelphia,Secondary Schools,Belmont Charter High School,http://www.belmontcharternetwork.org/bchs/,(267) 788-1421,"1301 Belmont AvenuePhiladelphia, PA 19104","Belmont Charter High School in Philadelphia is a college preparatory and career readiness institution for grades 9-12, emphasizing individual career plans for its small student body of 300. Founded in 2017, the school focuses on equipping students for immediate workforce entry or further education post-graduation. It offers comprehensive student support services and fosters a caring environment. The leadership team, including the Head of School and Directors of College and Career Readiness, emphasizes community relations and personal development, ensuring that all students receive tailored guidance on their educational and professional journeys."
Centre,Secondary Schools,Bald Eagle Area Middle and High; Bald Eagle Area School District,https://www.beasd.org/o/middle-and-high-school,(814) 355-4868,"751 S Eagle Valley RdWingate, PA 16823","Bald Eagle Area Middle and High, part of the Bald Eagle Area School District, offers comprehensive educational programs for middle and high school students. The school prioritizes mental health support through guidance counseling, tutoring programs, and various extracurricular activities that encourage social interaction. Students can access resources aimed at promoting emotional wellbeing and academic success. The dedicated staff works collaboratively to create a supportive environment fostering personal growth and resilience among students. The location is situated at 751 S Eagle Valley Rd, Wingate, PA 16823."
Centre,Parent Organization Secondary Schools,Bald Eagle Area Middle and High School; PTA,,(814) 355-4868,"710 S. Eagle Valley RoadWingate, PA 16823","The Bald Eagle Area Middle and High School PTA, located at 710 S. Eagle Valley Road, Wingate, PA, aims to support students’ educational and social well-being through various programs and activities. The PTA organizes events, facilitates communication between parents and teachers, and advocates for students' needs. They also provide resources that promote mental health awareness and encourage parental involvement in school initiatives, creating a supportive community for students and families."
Allegheny,Secondary Schools,Baldwin High School,https://www.bwschools.net/baldwin-high-school,(412) 885-7500,"4653 Clairton BlvdPittsburgh, PA 15236","Baldwin High School, part of the Baldwin-Whitehall School District, offers comprehensive school counseling services to support student mental health and well-being. The school provides social work services, health services, and various extracurricular activities, including clubs, athletics, music, and theater programs, fostering a well-rounded environment. Students can access educational resources and participate in events like Mini-THONs and blood drives. The focus on academics, alongside a variety of student life opportunities, promotes personal growth and community engagement within the school, making it a supportive environment for all students."
Allegheny,Secondary Schools,Baldwin-Whitehall School District,https://www.bwschools.net/,,"4900 Curry RoadPittsburgh, PA 15237","The Baldwin-Whitehall School District provides a comprehensive educational environment for students in grades Pre-K through 12. Located in Pittsburgh, PA, the district includes several schools and offers programs such as Champions Before & After School, a Pre-Kindergarten Program, and various athletics. The district prioritizes mental health and well-being through initiatives like the CHILL Project, which focuses on emotional wellness. Additionally, the district facilitates community engagement through opportunities for volunteering, and it ensures resources are accessible to individuals with disabilities. A commitment to support, student life, and strategic planning underscores its mission to foster a nurturing educational atmosphere."
Bucks,PHP/IOP,Banyan Treatment Center,,(609) 408-3776,"100 N Buckstown DriveSuite 100ELanghorne, PA 19047","**Banyan Treatment Center** in Langhorne, PA, offers personalized programs for addiction and mental health recovery, including medical detox, residential treatment, and outpatient services. With a focus on co-occurring disorders, the center utilizes evidence-based therapies like CBT, DBT, and EMDR, along with holistic methods such as equine therapy and family therapy. Banyan also emphasizes support for veterans and first responders and offers telehealth services. Tailored treatment plans are crafted after thorough assessments, ensuring comprehensive care in a safe, compassionate environment. The center also engages alumni through ongoing support and aftercare programs."
Indiana,Private Psychiatry Practice,Barbara Elkin,http://www.barbelkinlpc.com/,(724) 471-8171,"647 Philadelphia StreetThe Midtown Building, Suite 402Indiana, PA 15701","Barbara Elkin is a licensed professional counselor based in Indiana, PA, dedicated to delivering comprehensive mental health care and substance abuse treatment. She offers a therapeutic environment for individuals, couples, families, and college students to enhance their quality of life. Barbara focuses on various aspects of mental wellness, such as anxiety, depression, trauma resolution, anger management, and self-esteem development. She provides tools for relaxation, coping skills, and grief understanding, ensuring clients feel respected and heard in their therapy sessions. Flexible appointment scheduling helps accommodate different needs, promoting a journey toward peace and happiness."
Erie,Primary Care Physician Office/Health Center,Barber National Institute,https://www.barberinstitute.org/locations/erie,(814) 453-7661,"100 Barber Place Erie, PA 16507","The Barber National Institute, located in Erie, PA, offers a comprehensive range of behavioral health services for children and adults, including intensive behavioral health services, family-based mental health support, and community habilitation programs. It features specialized programs for autism support, adult day services, and pre-employment transition services. The facility houses the Elizabeth Lee Black School and provides family support services and recreational opportunities, including a community pool. With a mission to enhance the quality of life for individuals with disabilities, the Institute promotes inclusion and skill development through various community-focused initiatives."
Bucks,General Hospital,Barix Clinics of Pennsylvania,,,"280 Middletown BlvdLanghorne, PA 19047","Barix Clinics of Pennsylvania, located at 280 Middletown Blvd, Langhorne, offers specialized weight loss services. Their comprehensive approach includes medical evaluations, nutritional counseling, and post-surgery support for individuals seeking to achieve lasting weight loss. The clinic operates Monday through Friday from 8:30 AM to 5:30 PM, providing personalized care in a supportive environment. Aimed at fostering overall health and wellness, Barix Clinics emphasizes education and lifestyle changes to promote sustainable results for their patients."
